ts	phase	decision	why	evidence	result
2026-08-27T17:02:51.824Z	frame	harden the accepted v1 contracts in risk order	process containment and session shutdown can lose control of workloads, so they come before policy and diagnostics	docs/windows-runtime.md, docs/state-machines.md	complete
2026-08-27T17:09:41.418Z	process containment	launch every workload suspended with an explicit inherited-handle list, assign it to the Job Object, then resume	no workload instruction may run before containment	crates/supervisor/src/process.rs, SUSPENDED_JOB_SMOKE_OK	job completed and logs survived
2026-08-27T17:20:45.273Z	session lifecycle	replace the nested ending-event name with one flat Global name	Windows reserves backslashes in kernel object names after the namespace prefix	crates/protocol/src/session.rs, docs/filesystem-layout.md	invalid ADR detail corrected before implementation
2026-08-27T17:21:33.498Z	session lifecycle	make SCM session and preshutdown notifications signal one per-session event watched by controller and supervisors	logout must stop workloads even when controller RPC is gone	crates/host/src/main.rs, crates/controller/src/main.rs, SESSION_ENDING_SMOKE_OK	controller, supervisor, and workload stopped with durable stopped history
2026-08-27T17:47:30.067Z	supervisor recovery	persist typed checkpoints and observations, commit cursor before ACK, replace lost supervisors without duplicating executions	controller and supervisor crashes must not lose terminal facts or silently rerun jobs	crates/supervisor/src/journal.rs, crates/controller/src/storage.rs, RECOVERY_SMOKE_OK	service survived supervisor and controller replacement in one execution; attempt result was prevented from masquerading as terminal result
2026-08-27T17:57:30.000Z	hot reload	separate process-definition drift from journal-acknowledged policy delivery	process changes must not mutate a live execution while policy changes should apply without restart	crates/controller/src/manager.rs, crates/supervisor/src/runner.rs, HOT_RELOAD_SMOKE_OK	policy applied to the same supervisor and process drift set restart_required without replacing the execution
2026-08-27T18:12:00.000Z	upgrade and pinning	launch controllers from validated immutable selections and preserve current or execution-pinned versions during GC	stable bin copies cannot safely preserve an old supervisor runtime format across controller upgrades	crates/host/src/launcher.rs, crates/cli/src/installer.rs, UPGRADE_GC_SMOKE_OK	stable bin contains only the CLI; pinned old build survived GC and was removed after its pin disappeared
2026-08-27T18:30:00.000Z	host recovery	persist SID plus AuthenticationId and controller process identity in a volatile registry mapping	a host service restart must adopt the exact live controller without carrying a manager session into a later logon	crates/host/src/registration.rs, crates/host/src/rpc.rs, crates/host/src/launcher.rs	disconnect remains live; PID reuse, session mismatch, and logon mismatch force a fresh controller
2026-08-27T18:32:00.000Z	enabled jobs	claim each enabled job once per host-issued manager session in SQLite	controller recovery in one logon must not duplicate a one-shot execution	crates/controller/src/storage.rs, crates/controller/src/manager.rs	enabled services resume normally and enabled jobs are at-most-once per manager session
2026-08-27T18:34:45.801Z	diagnostics	centralize non-blocking JSONL segmentation and retention in one shared module	lifecycle control must never block on operator diagnostics and every process needs bounded storage	crates/diagnostics/src/lib.rs, DIAGNOSTICS_SMOKE_OK	controller emitted complete start, reload, and stop records and finalized its segment on shutdown
2026-08-27T18:40:00.000Z	manager-session boundary	close active rows from older manager sessions instead of recovering them	recovery is valid across controller replacement in one logon, never across logout or reboot	crates/controller/src/manager.rs, docs/supervisor-runtime.md	old jobs become outcome-unknown, old services become stopped, and enabled triggers own any new execution
2026-08-27T18:42:00.000Z	host session inventory	key ending markers by Windows session plus AuthenticationId and preserve a live controller during same-SID conflicts	Windows can reuse numeric session IDs and v1 must not duplicate or accidentally stop controllers	crates/host/src/registration.rs, crates/host/src/rpc.rs	new logons cannot inherit stale ending markers; conflicts are explicit without starting a second controller
2026-08-27T18:45:00.976Z	acceptance	require protocol, formatting, lint, test, release, packaging, and diff checks before commit	the hardening crosses process, persistence, transport, and installer boundaries	buf lint/build; cargo fmt/clippy/test/build --release; PACKAGE_SMOKE_OK; git diff --check	all acceptance checks passed
